Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	br_lens[78]	br_lens[79]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
100	-2696.76	-2641.47	-55.2935	1.439616	8.775732	0.633256	0.016276	0.0113635	0.00843236	0.0107421	0.00448852	0.0124692	0.547431	0.0570156	0.495981	0.00792228	0.0166803	0.0433736	0.00211237	0.10182	0.0181276	0.136494	0.0217789	0.0644054	0.0178722	0.058089	0.0294696	0.0399036	0.0440341	0.00340264	0.028353	0.00182772	0.0095932	0.0814154	0.0187455	0.0385321	0.00890012	0.000692554	0.154703	0.0290727	0.048417	0.0698213	0.124047	0.0238691	0.000436184	0.156403	0.0561102	0.88939	0.151316	0.16329	0.409782	0.85649	0.288164	0.0723608	0.0274707	0.315768	0.186302	0.0640617	0.0568614	0.0234083	0.703634	0.257339	0.00401819	0.029118	6.91627e-05	0.194116	0.119827	0.357907	0.0205127	0.0298177	0.0288324	0.112904	0.0460181	0.0257429	0.141866	0.132966	0.520953	0.240329	0.493062	0.0314483	0.340484	0.058093	0.109336	0.0869661	0.215842	0.578187	1.04667	2.1593	10.84391
110	-2694.37	-2640.52	-53.8499	1.336654	6.927648	0.377433	0.0339047	0.0202851	0.0103436	0.0194862	0.00602784	0.0310403	0.346968	0.0859173	0.53032	0.00248828	0.00297162	0.0305895	0.00243514	0.0466244	0.0378169	0.206097	0.0497731	0.101986	0.00882805	0.110638	0.0304633	0.0375339	0.0668741	0.000553001	0.0190895	0.0016191	0.0232991	0.117576	0.00897478	0.0632959	0.0248573	0.00172824	0.192576	0.0515206	0.033886	0.0359619	0.139081	0.0190908	0.00117697	0.140934	0.0548173	0.828053	0.105945	0.20415	0.612173	0.604647	0.491362	0.0632732	0.0158373	0.200921	0.219498	0.0291117	0.043462	0.0223375	0.574292	0.178371	0.0139822	0.0103235	8.31913e-05	0.070291	0.162192	0.350153	0.0352054	0.0357072	0.0863599	0.105865	0.081686	0.0124999	0.0626366	0.117527	0.700388	0.327462	0.557558	0.0315303	0.104541	0.0239466	0.585325	0.104375	0.198951	0.558899	1.03919	2.20296	10.89995
120	-2683.64	-2634.97	-48.6702	1.795532	7.564961	0.481101	0.0535908	0.0208404	0.0152541	0.0228856	0.0157228	0.0186158	0.397605	0.0465955	0.338667	0.00134758	0.00393066	0.00315915	0.00228267	0.087067	0.0324585	0.159072	0.0889522	0.0890861	0.00897798	0.0981505	0.0170794	0.0118277	0.0502734	0.000548615	0.0407293	0.00143163	0.0327468	0.106343	0.0169338	0.0736121	0.00769535	0.000632143	0.147601	0.0267723	0.0527372	0.0636409	0.159773	0.115242	0.000600331	0.14377	0.0529799	0.662481	0.100455	0.0857902	0.354259	0.65478	0.596939	0.0411547	0.0102854	0.243389	0.223391	0.00713104	0.056387	0.0204064	0.380827	0.215887	0.00901213	0.00639869	6.22235e-05	0.0676356	0.160424	0.168193	0.0322572	0.0353819	0.149254	0.152226	0.137127	0.0117267	0.0864581	0.144631	0.652712	0.194739	0.473568	0.0427666	0.425012	0.0166339	0.329696	0.0807219	0.267582	0.631347	1.06392	2.03715	10.13853
130	-2681.15	-2625.66	-55.4898	1.939659	6.180162	0.371049	0.0376988	0.0267839	0.00722543	0.0136721	0.0063305	0.0211193	0.440662	0.0147331	0.476856	0.00641123	0.00695034	0.00326845	0.00275526	0.0997702	0.0202511	0.247752	0.0771861	0.173636	0.0170805	0.134516	0.00739981	0.00824412	0.035543	0.00148752	0.0496442	0.000147181	0.0218935	0.0716559	0.0274422	0.0664002	0.00889549	0.00105107	0.245911	0.0204642	0.0502876	0.0297584	0.104851	0.0912406	0.00105613	0.0882315	0.055346	0.82581	0.117368	0.149572	0.646186	0.769413	0.267896	0.0704611	0.0266686	0.181392	0.210607	0.0116198	0.0181018	0.0100864	0.715446	0.0766337	0.00243385	0.0127228	0.000160316	0.0662824	0.136535	0.314315	0.0348796	0.0348778	0.10754	0.110987	0.11427	0.0185586	0.0811477	0.121111	0.695979	0.350578	0.441773	0.0315772	0.313247	0.0128116	0.510466	0.148599	0.285964	0.64844	1.0684	1.99719	10.95077
140	-2693.51	-2642.7	-50.8118	1.708493	6.852097	0.636228	0.0422982	0.0211878	0.0114194	0.0389489	0.0108968	0.025539	0.373022	0.00503262	0.400347	0.00333209	0.00590137	0.00478965	0.00329525	0.146335	0.0134586	0.200779	0.0384244	0.0900535	0.0132353	0.136664	0.00427554	0.00216885	0.0225608	0.00100398	0.0223316	0.00181059	0.025148	0.107252	0.0415674	0.0586864	0.00536684	0.00128469	0.131457	0.0189222	0.0198288	0.0420965	0.164728	0.0612559	0.00098789	0.196273	0.0484868	0.823685	0.119793	0.0875728	0.314818	0.696096	0.245733	0.189552	0.0335793	0.226118	0.317408	0.00391125	0.0175201	0.00860275	0.352543	0.227344	0.00566712	0.0330026	0.000494053	0.0623464	0.166277	0.329707	0.130669	0.0698561	0.0179274	0.145487	0.0903521	0.0137117	0.139911	0.127779	0.498816	0.300872	0.435858	0.0554914	0.396609	0.0359293	0.311888	0.16666	0.255809	0.619943	1.06063	2.06361	10.39826
150	-2683.57	-2632.15	-51.4272	1.870209	6.85649	0.342315	0.0703119	0.00919521	0.0200769	0.00582717	0.00483807	0.0430166	0.362706	0.00647361	0.51684	0.00288835	0.00716359	0.00971785	0.00394337	0.0790705	0.0137931	0.29707	0.0352845	0.0966237	0.0353149	0.131269	0.00389544	0.00165798	0.0215523	0.00203217	0.0166563	0.00568032	0.0321313	0.0859085	0.0133261	0.0469444	0.00505042	0.00204995	0.155768	0.0105471	0.0126693	0.0493621	0.0700602	0.0704081	0.00128094	0.187308	0.0748463	0.943655	0.163958	0.188184	0.749702	0.750333	0.257483	0.17494	0.0161321	0.132798	0.308961	0.011274	0.0208545	0.0054721	0.352543	0.160631	0.0363658	0.0401091	0.000173841	0.0907056	0.0995597	0.30479	0.0529606	0.0545941	0.0546748	0.159039	0.0227244	0.00234696	0.100063	0.177148	0.35981	0.255852	0.468081	0.0173193	0.468343	0.0347513	0.301943	0.163877	0.277273	0.640462	1.06637	2.01589	10.46503
160	-2679.98	-2622.87	-57.1068	1.650518	7.049348	0.359575	0.0483996	0.00672544	0.0212195	0.00947368	0.0230389	0.104608	0.60793	0.00567348	0.520896	0.00244706	0.00339576	0.00783369	0.00157481	0.122598	0.0364533	0.132797	0.0178471	0.0854317	0.038246	0.145241	0.00460376	0.00291211	0.06106	0.00170668	0.0163217	0.00966431	0.0189515	0.0264499	0.00860462	0.0126411	0.00723479	0.00103618	0.153898	0.0235917	0.0173344	0.0222962	0.0409582	0.0677511	0.00188235	0.140595	0.0969835	0.574765	0.129873	0.119589	0.575411	0.767755	0.225956	0.0212629	0.0110976	0.217955	0.235383	0.00959935	0.00997129	0.00389579	0.846752	0.0475162	0.024252	0.011851	0.000404207	0.096785	0.226449	0.433924	0.0483654	0.023099	0.0723546	0.141661	0.00879344	0.00311681	0.136443	0.160194	0.840857	0.470033	0.784835	0.00335761	0.403785	0.0424696	0.465283	0.0879957	0.247666	0.611833	1.05816	2.08234	11.32097
170	-2678.76	-2628.45	-50.3045	1.700063	7.495929	0.176645	0.012131	0.00727187	0.0405886	0.00963794	0.00783654	0.178988	0.440508	0.00342078	0.231489	0.00482284	0.00233369	0.0341937	0.00293471	0.10475	0.0391741	0.120762	0.0317718	0.102207	0.0219612	0.129602	0.00528253	0.0048504	0.0781766	0.00602477	0.0060713	0.00797502	0.0427602	0.0489205	0.00408175	0.0211928	0.00342531	0.00125517	0.22269	0.0137587	0.0107646	0.0402518	0.138872	0.0915524	0.00249559	0.170715	0.0698596	0.800063	0.149409	0.282358	0.480191	0.786943	0.344963	0.0347078	0.00915436	0.298115	0.287591	0.0234835	0.00862145	0.0132311	0.507021	0.217925	0.0519018	0.0331466	0.00038382	0.0916797	0.0450702	0.383658	0.0187699	0.0289105	0.115462	0.212835	0.0240765	0.00307366	0.192187	0.222393	0.644672	0.262954	0.303628	0.00671102	0.344225	0.0123072	0.381586	0.050474	0.25464	0.618791	1.06029	2.06628	10.36789
180	-2670.19	-2624.11	-46.0728	1.634794	7.674025	0.540991	0.0115701	0.0048568	0.0667582	0.00512438	0.0203081	0.077483	0.355331	0.0192483	0.344956	0.00953405	0.0124757	0.00854131	0.00311604	0.0658513	0.0210433	0.0969543	0.0266514	0.0891684	0.00526721	0.0905265	0.00898226	0.00341445	0.126438	0.00284202	0.00539374	0.00464907	0.0311605	0.076051	0.0133844	0.0561434	0.00444424	0.0024093	0.162696	0.0397482	0.0034951	0.0629255	0.0581634	0.0762601	0.00733581	0.152705	0.0730614	0.871706	0.128085	0.121814	0.215699	0.58152	0.29432	0.0580067	0.0210877	0.19955	0.270057	0.0121579	0.0289106	0.0423837	0.44858	0.0524685	0.0581093	0.0230968	0.000307672	0.0442734	0.114485	0.221161	0.0154546	0.0671788	0.0529438	0.149718	0.0671431	0.00112982	0.137774	0.162033	0.786514	0.404953	0.580864	0.0306949	0.205802	0.00621551	0.310463	0.187307	0.245414	0.609557	1.05745	2.08758	9.821428
190	-2659.42	-2626.44	-32.9775	1.435422	7.498878	0.1736	0.0132557	0.00746032	0.0142835	0.00272462	0.00236163	0.0338216	0.401927	0.0225866	0.230344	0.00673587	0.0042325	0.00535525	0.00850422	0.0811241	0.0155723	0.122168	0.0453417	0.104926	0.00814761	0.140693	0.00491405	0.00237008	0.0448348	0.00717722	0.00417435	0.00837284	0.0287374	0.0417775	0.0195261	0.0549875	0.00347412	0.00164194	0.222825	0.0206684	0.00129406	0.0772071	0.055323	0.0305193	0.0027723	0.135445	0.0860224	0.597483	0.106303	0.0885064	0.317315	0.513997	0.41083	0.0164919	0.0183875	0.235149	0.183903	0.001761	0.0619168	0.0262455	0.342613	0.149046	0.047547	0.0139325	0.000821717	0.117179	0.229862	0.170403	0.00835963	0.0294496	0.0712461	0.126828	0.0357257	0.00328552	0.109515	0.0833618	0.661966	0.229006	0.349304	0.0237079	0.247769	0.00195558	0.0907329	0.0714179	0.215172	0.577442	1.04639	2.16099	8.092554
