Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	br_lens[78]	br_lens[79]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-1500.902	-1422.215	-78.68651	0.2240092	5.25216	0.0924772	0.214755	0.548398	0.30142	0.20057	0.586573	0.490061	0.154553	0.332978	0.143702	0.0548506	0.179162	0.261162	0.543376	0.258336	0.331135	0.109947	0.123653	0.173086	0.0588074	0.234994	0.0830595	0.175558	0.0936642	0.117594	0.0119686	0.0993609	0.23815	0.164352	0.0363509	0.143326	0.0337291	0.0994286	0.107463	0.139252	0.569668	0.169591	0.188665	0.83544	0.935235	0.181357	0.0954793	0.0610632	0.00303177	0.0549306	0.0281967	0.272877	0.0018729	0.0386221	0.053017	0.508175	0.0790813	0.0257444	0.202047	0.173847	0.0650848	0.0806279	0.175304	0.119283	0.0387716	0.175022	0.507908	0.165416	0.242732	0.152416	0.358956	0.0229544	0.385471	0.18663	0.0946577	0.0711897	0.149585	0.161491	0.0881524	0.252885	0.106756	0.106272	0.0627297	0.0314482	0.00111315	0.0486726	0.443383	3.50683	15.21694
10	-1035.396	-966.1618	-69.23406	0.4430597	7.333384	0.497935	0.125341	0.349557	0.569268	0.106845	0.172663	0.709126	0.179311	0.0945617	0.0898616	0.0568145	0.202512	0.191984	0.336697	0.188254	0.133022	0.13791	0.154096	0.186391	0.0515645	0.160613	0.0492172	0.205661	0.109173	0.0633533	0.0109698	0.156956	0.0719298	0.0673524	0.0554647	0.116542	0.0300624	0.0864373	0.244947	0.0785309	0.171094	0.0640981	0.290448	0.447578	0.299731	0.0558182	0.0757941	0.0410732	0.00169522	0.290065	0.0227985	0.107542	0.00159319	0.00839817	0.0155395	0.389609	0.0306244	0.02856	0.144595	0.0800773	0.189848	0.146472	0.700742	0.0994837	0.0230596	0.180663	0.219705	0.025248	0.477619	0.0866767	0.0678761	0.027219	0.415211	0.257313	0.161791	0.049872	0.228184	0.603912	0.0877745	0.197776	0.0567599	0.139909	0.0389061	0.0289734	0.0233847	0.213129	0.773969	2.98952	13.11865
20	-963.7195	-905.2226	-58.49693	0.3323132	7.030607	0.427064	0.0469112	0.317332	0.237436	0.0643935	0.0651367	0.563783	0.0645259	0.114525	0.182542	0.037337	0.0190956	0.124973	0.129474	0.137175	0.0896533	0.279589	0.089583	0.196549	0.0874609	0.125295	0.0213449	0.404764	0.0954419	0.07555	0.00788304	0.0334515	0.0215683	0.0855566	0.132693	0.075701	0.0210418	0.188856	0.146426	0.121634	0.049289	0.170625	0.522453	0.143832	0.176311	0.0132579	0.0770215	0.00601381	0.000871388	0.308093	0.0228609	0.263031	0.00318095	0.0475479	0.00765249	0.216411	0.159542	0.0370319	0.103317	0.0542845	0.094917	0.447919	0.487955	0.151063	0.0305546	0.355754	0.163068	0.0534762	0.420923	0.0329716	0.0287607	0.0425418	0.391635	0.325785	0.099849	0.0218859	0.200491	0.249199	0.0948293	0.345648	0.06635	0.282708	0.0805929	0.0237486	0.00827889	0.129755	0.646284	3.21568	11.707
30	-931.4894	-856.2328	-75.25658	0.2594311	4.544323	0.585002	0.135278	0.144108	0.46394	0.0609768	0.0434682	0.306341	0.0356037	0.183587	0.169274	0.0160496	0.0225774	0.154307	0.0307437	0.0538105	0.131435	0.0445813	0.0401997	0.258876	0.109069	0.083024	0.0183482	0.82427	0.104661	0.0338202	0.00689933	0.0288755	0.0155732	0.0533945	0.057662	0.0268383	0.0195527	0.128697	0.207573	0.119347	0.0226548	0.152258	0.439202	0.100503	0.0592919	0.00308894	0.127852	0.0173277	0.00306977	0.471962	0.0712352	0.589108	0.00720849	0.058441	0.0476422	0.0706236	0.198659	0.0175541	0.0707027	0.0371958	0.130525	0.601338	0.705477	0.294043	0.0254279	0.0913406	0.221664	0.0264035	0.832378	0.150767	0.0602566	0.14218	0.679344	0.235863	0.61696	0.0300606	0.351519	0.468033	0.405924	0.208347	0.090855	0.560783	0.0543226	0.0720408	0.00258075	0.0735805	0.520957	3.40288	14.33919
40	-910.9511	-827.7006	-83.25049	0.2324587	4.547371	1.21443	0.0607416	0.168641	0.457272	0.0189875	0.0217771	0.321258	0.030284	0.103652	0.523211	0.00950709	0.0337767	0.0165127	0.0304029	0.0481596	0.0563249	0.0158997	0.0857405	0.230976	0.0687881	0.154169	0.0201229	0.152831	0.043441	0.0306471	0.00410374	0.00390649	0.0312941	0.0397478	0.0114232	0.0336649	0.00639343	0.197111	0.152903	0.11715	0.0281724	0.288542	0.474419	0.0705092	0.0425357	0.00213167	0.293228	0.00363591	0.00158102	1.09533	0.179574	0.40347	0.074034	0.0334295	0.057986	0.0887892	0.217621	0.0100031	0.14166	0.0221507	0.104574	0.446813	0.437143	0.367467	0.0107605	0.129716	0.811988	0.0091758	1.60841	0.130512	0.0572642	0.151766	0.523855	0.131431	0.237219	0.121525	0.132437	0.696302	0.17413	0.640464	0.183704	0.688789	0.122914	0.142536	0.00139251	0.0543478	0.463006	3.48125	16.10495
50	-905.5288	-824.3996	-81.12918	0.2072526	4.866164	1.3412	0.0609544	0.0859408	0.350973	0.0389012	0.00265884	0.1889	0.0696664	0.106204	0.548683	0.0103826	0.0402303	0.00326984	0.0635989	0.0253934	0.0737636	0.084342	0.0368671	0.0478203	0.0881871	0.136843	0.0274237	0.103756	0.0297272	0.00886899	0.00241442	0.0135649	0.0196398	0.0321077	0.0605617	0.0228564	0.0210985	0.318798	0.0537566	0.161498	0.0955142	0.390177	0.443962	0.118016	0.0647318	0.00145454	0.262425	0.00168566	0.00234353	0.942904	0.146235	0.665161	0.0431277	0.0442376	0.0280221	0.0214824	0.214247	0.0117099	0.461457	0.00494082	0.151906	0.553568	1.00761	0.383551	0.0166936	0.093393	0.795842	0.0117148	0.627824	0.0601745	0.296089	0.298682	0.480272	0.200671	0.196664	0.107038	0.112384	0.578298	0.298329	0.780292	0.0581422	0.220292	0.100929	0.0309739	0.000676366	0.0380615	0.40232	3.55894	15.70602
60	-901.8619	-824.438	-77.42385	0.2962689	5.494626	0.570778	0.0689436	0.0500215	0.125754	0.00645691	0.00585725	0.115761	0.0523603	0.138527	0.56315	0.006792	0.0793121	0.00203547	0.107829	0.0262219	0.136148	0.2019	0.0572918	0.0364617	0.0632969	0.123049	0.0195824	0.121799	0.0123471	0.0135484	0.00167118	0.0126981	0.0134825	0.0250231	0.0224417	0.0791581	0.0202447	0.177942	0.0895834	0.080019	0.0294617	0.331374	0.331167	0.272235	0.0472301	0.00140424	0.138813	0.00321753	0.0111526	0.626857	0.0610632	1.11179	0.0537192	0.0389401	0.0190677	0.0250797	0.0454257	0.00363154	0.343167	0.016765	0.593144	1.05441	0.85427	0.593682	0.0683059	0.153542	1.06614	0.0127303	0.704192	0.027604	0.185936	0.133548	0.439451	0.131709	0.12661	0.147621	0.077611	0.480046	0.223115	0.601085	0.129806	0.254337	0.120704	0.0239088	0.00499753	0.101596	0.589483	3.30392	14.94255
70	-888.0967	-822.7712	-65.32552	0.3037827	5.87874	0.767729	0.0749596	0.0534009	0.195497	0.00328198	0.00886969	0.116294	0.0251926	0.146834	0.660354	0.00416616	0.116182	0.00088718	0.0273284	0.0120274	0.0894299	0.115689	0.0444483	0.0774855	0.0526493	0.0844824	0.00528917	0.0712626	0.0204549	0.0175896	0.00486575	0.0139461	0.0110813	0.0476584	0.0530899	0.0653153	0.0442678	0.152738	0.0564447	0.107551	0.0360568	0.223426	0.232409	0.080915	0.0291518	0.000862497	0.499905	0.00367587	0.0351283	0.633482	0.0965064	0.567894	0.14439	0.0806374	0.010899	0.0329909	0.0365223	0.0404148	0.249419	0.00587513	0.877488	0.560841	0.447227	0.334507	0.0982414	0.116052	0.450321	0.0248304	0.519078	0.0360151	0.100525	0.122433	0.529691	0.195196	0.130113	0.0320714	0.0356245	0.296874	0.310389	0.756979	0.0771493	0.0735887	0.256509	0.0308923	0.00560717	0.107441	0.602101	3.28485	12.80194
80	-892.7674	-820.0836	-72.68379	0.2693993	7.012835	0.780534	0.0297481	0.0409347	0.0352858	0.00236198	0.0799861	0.137258	0.0627631	0.113074	0.42088	0.0153591	0.0196058	0.00902259	0.0175876	0.00873707	0.119504	0.200897	0.0385076	0.0361723	0.0188936	0.125859	0.0174255	0.0707742	0.0636778	0.0140349	0.0117987	0.0159183	0.0161427	0.017431	0.0916892	0.140293	0.0390115	0.0673683	0.00182011	0.249458	0.0121851	0.269128	0.139726	0.208297	0.0372368	0.000776088	0.208089	0.0020948	0.0317431	0.738755	0.0681997	0.346517	0.465521	0.0911975	0.0133988	0.0504141	0.235072	0.0326936	0.398022	0.020897	0.883808	0.292032	0.625248	0.382277	0.0507512	0.0868106	0.561474	0.0165369	0.317469	0.0308192	0.0484588	0.100615	1.07494	0.623099	0.322076	0.0876323	0.0742669	0.612919	0.468926	0.280718	0.0388686	0.0549073	0.0809588	0.125233	0.00314171	0.0810148	0.540651	3.37519	13.74062
